Alloy_ID,Source_Alloy_ID,alloy_formula,Al,Cr,Hf,Mo,Nb,Si,Ta,Ti,V,W,Zr,temperature,time,specific_mass_change,source
A001,A001-S01,NbTi2VZr,0,0,0,0,20,0,0,40,20,0,20,800,10,113.48,https://doi.org/10.1007/s40843-022-2045-4
A001,A001-S01,NbTi2VZr,0,0,0,0,20,0,0,40,20,0,20,800,20,189.37,https://doi.org/10.1007/s40843-022-2045-4
A002,A002-S01,NbTa0.5TiZr,0,0,0,0,27.76,0,16.88,30.75,0,0,24.61,1000,10,73.59,https://doi.org/10.1016/S1003-6326(19)65054-5
A002,A002-S01,NbTa0.5TiZr,0,0,0,0,27.76,0,16.88,30.75,0,0,24.61,1000,20,96.1,https://doi.org/10.1016/S1003-6326(19)65054-5
A003,A003-S01,NbTiVZr,0,0,0,0,28.3,0,0,24.5,23,0,24.2,1000,3,109.82,https://doi.org/10.1016/j.jallcom.2017.09.164
A003,A003-S01,NbTiVZr,0,0,0,0,28.3,0,0,24.5,23,0,24.2,1000,4,143.29,https://doi.org/10.1016/j.jallcom.2017.09.164
A004,A004-S01,NbTaTi,0,0,0,0,33.1,0,36.2,30.7,0,0,0,1000,3,10.18,Tom_ini
A004,A004-S01,NbTaTi,0,0,0,0,33.1,0,36.2,30.7,0,0,0,1000,4,11.958,Tom_ini
A004,A004-S01,NbTaTi,0,0,0,0,33.1,0,36.2,30.7,0,0,0,1000,10,21.105,Tom_ini
A004,A004-S01,NbTaTi,0,0,0,0,33.1,0,36.2,30.7,0,0,0,1000,20,35.29,Tom_ini
A004,A004-S01,NbTaTi,0,0,0,0,33.1,0,36.2,30.7,0,0,0,1000,50,85.393,Tom_ini
A005,A005-S01,NbTaTi,0,0,0,0,33.33,0,33.33,33.34,0,0,0,1200,4,41.86,https://doi.org/10.1016/j.jallcom.2020.158003
A006,A006-S01,NbTaZr,0,0,0,0,33.33,0,33.33,0,0,0,33.34,1200,4,144.56,https://doi.org/10.1016/j.jallcom.2020.158003
A007,A007-S01,Nb-17.3Si,0,0,0,0,82.7,17.3,0,0,0,0,0,1000,4,65,https://doi.org/10.1016/S1468-6996(02)00005-0
A008,A008-S01,Nb-10.1Si,0,0,0,0,89.9,10.1,0,0,0,0,0,1000,4,170,https://doi.org/10.1016/S1468-6996(02)00005-0
A009,A009-S01,NbMoWZr,0,0,0,2,92,0,0,0,0,5,1,800,3,41.06,https://doi.org/10.1016/j.corsci.2021.109513
A009,A009-S01,NbMoWZr,0,0,0,2,92,0,0,0,0,5,1,800,4,62.56,https://doi.org/10.1016/j.corsci.2021.109513
A009,A009-S01,NbMoWZr,0,0,0,2,92,0,0,0,0,5,1,800,10,126.04,https://doi.org/10.1016/j.corsci.2021.109513
A009,A009-S01,NbMoWZr,0,0,0,2,92,0,0,0,0,5,1,800,20,176.22,https://doi.org/10.1016/j.corsci.2021.109513
A010,A010-S01,Nb-13Si-4Mo,0,0,0,4,83,13,0,0,0,0,0,800,4,4,https://doi.org/10.1007/s11661-007-9398-9
A010,A010-S01,Nb-13Si-4Mo,0,0,0,4,83,13,0,0,0,0,0,1000,4,170,https://doi.org/10.1007/s11661-007-9398-9
A010,A010-S01,Nb-13Si-4Mo,0,0,0,4,83,13,0,0,0,0,0,1150,4,25,https://doi.org/10.1007/s11661-007-9398-9
A010,A010-S01,Nb-13Si-4Mo,0,0,0,4,83,13,0,0,0,0,0,800,20,10,https://doi.org/10.1007/s11661-007-9398-9
A010,A010-S01,Nb-13Si-4Mo,0,0,0,4,83,13,0,0,0,0,0,1000,20,323,https://doi.org/10.1007/s11661-007-9398-9
A010,A010-S01,Nb-13Si-4Mo,0,0,0,4,83,13,0,0,0,0,0,1150,20,62,https://doi.org/10.1007/s11661-007-9398-9
A011,A011-S01,Nb-19Si-5Mo,0,0,0,5,76,19,0,0,0,0,0,800,4,24,https://doi.org/10.1007/s11661-007-9398-9
A011,A011-S01,Nb-19Si-5Mo,0,0,0,5,76,19,0,0,0,0,0,1000,4,106,https://doi.org/10.1007/s11661-007-9398-9
A011,A011-S01,Nb-19Si-5Mo,0,0,0,5,76,19,0,0,0,0,0,1150,4,32,https://doi.org/10.1007/s11661-007-9398-9
A011,A011-S01,Nb-19Si-5Mo,0,0,0,5,76,19,0,0,0,0,0,800,20,28,https://doi.org/10.1007/s11661-007-9398-9
A011,A011-S01,Nb-19Si-5Mo,0,0,0,5,76,19,0,0,0,0,0,1000,20,342,https://doi.org/10.1007/s11661-007-9398-9
A011,A011-S01,Nb-19Si-5Mo,0,0,0,5,76,19,0,0,0,0,0,1150,20,99,https://doi.org/10.1007/s11661-007-9398-9
A012,A012-S01,Nb-12Si-15Mo,0,0,0,15,73,12,0,0,0,0,0,800,4,11,https://doi.org/10.1007/s11661-007-9398-9
A012,A012-S01,Nb-12Si-15Mo,0,0,0,15,73,12,0,0,0,0,0,1000,4,4,https://doi.org/10.1007/s11661-007-9398-9
A012,A012-S01,Nb-12Si-15Mo,0,0,0,15,73,12,0,0,0,0,0,1150,4,16,https://doi.org/10.1007/s11661-007-9398-9
A012,A012-S01,Nb-12Si-15Mo,0,0,0,15,73,12,0,0,0,0,0,800,20,21,https://doi.org/10.1007/s11661-007-9398-9
A012,A012-S01,Nb-12Si-15Mo,0,0,0,15,73,12,0,0,0,0,0,1000,20,11,https://doi.org/10.1007/s11661-007-9398-9
A012,A012-S01,Nb-12Si-15Mo,0,0,0,15,73,12,0,0,0,0,0,1150,20,53,https://doi.org/10.1007/s11661-007-9398-9
A013,A013-S01,WMoTaNbTi,0,0,0,18,17.1,0,23.4,15.1,0,26.4,0,1000,4,53,https://doi.org/10.3390/met12010041
A014,A014-S01,WMoTaNbV,0,0,0,19.5,17.8,0,22.2,0,17.8,22.7,0,1000,4,39,https://doi.org/10.3390/met12010041
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,750,3,0.09,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,820,3,0.24,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,1100,3,0.52,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,1300,3,1.74,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,750,4,0.1,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,820,4,0.26,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,1100,4,0.59,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,1300,4,1.93,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,750,10,0.1,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,820,10,0.31,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,1100,10,0.92,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,1300,10,2.92,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,750,20,0.11,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,820,20,0.35,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,1100,20,1.24,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,1300,20,4.18,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,750,50,0.15,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,820,50,0.42,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,1100,50,1.87,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,1300,50,6.34,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,750,100,0.22,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,820,100,0.49,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,1100,100,2.31,https://doi.org/10.1016/j.scriptamat.2011.10.042
A015,A015-S01,Mo-37Si-40Ti,0,0,0,23,0,37,0,40,0,0,0,1300,100,8.02,https://doi.org/10.1016/j.scriptamat.2011.10.042
A016,A016-S01,WMoTaNb,0,0,0,23.3,22.1,0,26.5,0,0,28.2,0,1000,4,38,https://doi.org/10.3390/met12010041
A017,A017-S01,Nb-18Si-26Mo,0,0,0,26,56,18,0,0,0,0,0,800,4,22,https://doi.org/10.1007/s11661-007-9398-9
A017,A017-S01,Nb-18Si-26Mo,0,0,0,26,56,18,0,0,0,0,0,1000,4,14,https://doi.org/10.1007/s11661-007-9398-9
A017,A017-S01,Nb-18Si-26Mo,0,0,0,26,56,18,0,0,0,0,0,1150,4,16,https://doi.org/10.1007/s11661-007-9398-9
A017,A017-S01,Nb-18Si-26Mo,0,0,0,26,56,18,0,0,0,0,0,800,20,107,https://doi.org/10.1007/s11661-007-9398-9
A017,A017-S01,Nb-18Si-26Mo,0,0,0,26,56,18,0,0,0,0,0,1000,20,42,https://doi.org/10.1007/s11661-007-9398-9
A017,A017-S01,Nb-18Si-26Mo,0,0,0,26,56,18,0,0,0,0,0,1150,20,50,https://doi.org/10.1007/s11661-007-9398-9
A018,A018-S01,MoTaTi,0,0,0,33.33,0,0,33.33,33.33,0,0,0,1000,4,19,https://doi.org/10.1007/s40843-020-1332-2
A019,A019-S01,Ti2ZrHf0.5VNb0.5,0,0,10,0,10,0,0,40,20,0,20,800,3,40.56,https://doi.org/10.1016/j.matchar.2021.111287
A019,A019-S01,Ti2ZrHf0.5VNb0.5,0,0,10,0,10,0,0,40,20,0,20,800,10,116.25,https://doi.org/10.1016/j.matchar.2021.111287
A019,A019-S01,Ti2ZrHf0.5VNb0.5,0,0,10,0,10,0,0,40,20,0,20,800,20,267.26,https://doi.org/10.1016/j.matchar.2021.111287
A020,A020-S01,HfNbTaTiZr,0,0,20,0,20,0,20,20,0,0,20,700,10,39.31,https://doi.org/10.1002/adem.201700948
A020,A020-S01,HfNbTaTiZr,0,0,20,0,20,0,20,20,0,0,20,900,10,26.57,https://doi.org/10.1002/adem.201700948
A020,A020-S01,HfNbTaTiZr,0,0,20,0,20,0,20,20,0,0,20,1100,10,37.76,https://doi.org/10.1002/adem.201700948
A020,A020-S01,HfNbTaTiZr,0,0,20,0,20,0,20,20,0,0,20,700,20,44.51,https://doi.org/10.1002/adem.201700948
A020,A020-S01,HfNbTaTiZr,0,0,20,0,20,0,20,20,0,0,20,900,20,29.26,https://doi.org/10.1002/adem.201700948
A020,A020-S01,HfNbTaTiZr,0,0,20,0,20,0,20,20,0,0,20,1100,20,45.62,https://doi.org/10.1002/adem.201700948
A020,A020-S01,HfNbTaTiZr,0,0,20,0,20,0,20,20,0,0,20,700,50,53.18,https://doi.org/10.1002/adem.201700948
A020,A020-S01,HfNbTaTiZr,0,0,20,0,20,0,20,20,0,0,20,900,50,38.9,https://doi.org/10.1002/adem.201700948
A020,A020-S01,HfNbTaTiZr,0,0,20,0,20,0,20,20,0,0,20,1100,50,52.2,https://doi.org/10.1002/adem.201700948
A020,A020-S01,HfNbTaTiZr,0,0,20,0,20,0,20,20,0,0,20,700,100,53.8,https://doi.org/10.1002/adem.201700948
A020,A020-S01,HfNbTaTiZr,0,0,20,0,20,0,20,20,0,0,20,900,100,51.74,https://doi.org/10.1002/adem.201700948
A020,A020-S01,HfNbTaTiZr,0,0,20,0,20,0,20,20,0,0,20,1100,100,75.84,https://doi.org/10.1002/adem.201700948
A021,A021-S01,Ti38V15Nb23Hf24,0,0,24,0,23,0,0,38,15,0,0,700,20,0.8,https://doi.org/10.1016/j.corsci.2022.110153
A021,A021-S01,Ti38V15Nb23Hf24,0,0,24,0,23,0,0,38,15,0,0,800,20,3.4,https://doi.org/10.1016/j.corsci.2022.110153
A021,A021-S01,Ti38V15Nb23Hf24,0,0,24,0,23,0,0,38,15,0,0,900,20,6.7,https://doi.org/10.1016/j.corsci.2022.110153
A021,A021-S01,Ti38V15Nb23Hf24,0,0,24,0,23,0,0,38,15,0,0,1000,20,5.6,https://doi.org/10.1016/j.corsci.2022.110153
A021,A021-S01,Ti38V15Nb23Hf24,0,0,24,0,23,0,0,38,15,0,0,1100,20,6.9,https://doi.org/10.1016/j.corsci.2022.110153
A021,A021-S01,Ti38V15Nb23Hf24,0,0,24,0,23,0,0,38,15,0,0,1200,20,10.7,https://doi.org/10.1016/j.corsci.2022.110153
A021,A021-S01,Ti38V15Nb23Hf24,0,0,24,0,23,0,0,38,15,0,0,1300,20,14.7,https://doi.org/10.1016/j.corsci.2022.110153
A021,A021-S01,Ti38V15Nb23Hf24,0,0,24,0,23,0,0,38,15,0,0,700,50,1.7,https://doi.org/10.1016/j.corsci.2022.110153
A021,A021-S01,Ti38V15Nb23Hf24,0,0,24,0,23,0,0,38,15,0,0,800,50,5.6,https://doi.org/10.1016/j.corsci.2022.110153
A021,A021-S01,Ti38V15Nb23Hf24,0,0,24,0,23,0,0,38,15,0,0,900,50,9.6,https://doi.org/10.1016/j.corsci.2022.110153
A021,A021-S01,Ti38V15Nb23Hf24,0,0,24,0,23,0,0,38,15,0,0,1000,50,7.3,https://doi.org/10.1016/j.corsci.2022.110153
A021,A021-S01,Ti38V15Nb23Hf24,0,0,24,0,23,0,0,38,15,0,0,1100,50,12.5,https://doi.org/10.1016/j.corsci.2022.110153
A021,A021-S01,Ti38V15Nb23Hf24,0,0,24,0,23,0,0,38,15,0,0,1200,50,21.6,https://doi.org/10.1016/j.corsci.2022.110153
A021,A021-S01,Ti38V15Nb23Hf24,0,0,24,0,23,0,0,38,15,0,0,1300,50,30.5,https://doi.org/10.1016/j.corsci.2022.110153
A022,A022-S01,HfNbTiZr,0,0,25,0,25,0,0,25,0,0,25,600,3,5.87,https://doi.org/10.1016/j.intermet.2018.05.015
A023,A023-S01,Cr0.25NbTaTi,0,10.9,0,0,27.1,0,28.8,33.2,0,0,0,1000,3,10.238,Tom_ini
A023,A023-S01,Cr0.25NbTaTi,0,10.9,0,0,27.1,0,28.8,33.2,0,0,0,1000,4,11.534,Tom_ini
